publisher,发布者
content_manage,内容管理
content_uncategory,未分类
content_article_list,文章列表
content_article_new,新建文章
content_article_edit,编辑文章
content_category_list,分类列表
content_category_new,新建分类
content_category_edit,编辑分类
content_publisher_list,发布者列表
content_publisher_new,新建发布者
content_publisher_edit,编辑发布者
content_categories,文章分类,
content_single_article,文章
content_status_published,已发布
content_status_unpublished,未发布
content_status_draft,草稿
content_status_disabled,禁用
content_intro_image,介绍图片
content_article_image,全文图片
content_introduction,简介
content_content,内容
content_loading,正在加载...
content_load_over,已全部加载
err_upload,上传失败
err_upload_article,只能上传图片(.jpg、.jpeg、.png、.gif)